qu;sacc;qsta;qend;leng;gapop;pid;nid;bitscore;score;taxid;species;genus;family;phylum;kingdom;superkingdom
OTU_312_ACM_008_Klin0341_CR;CP000156;1;333;333;0;99.40;331;604;327;353496;Lactobacillus delbrueckii;Lactobacillus;Lactobacillaceae;Firmicutes;undef;Bacteria
OTU_312_ACM_008_Klin0341_CR;CP000156;1;333;333;0;99.40;331;604;327;353496;Lactobacillus delbrueckii;Lactobacillus;Lactobacillaceae;Firmicutes;undef;Bacteria
OTU_312_ACM_008_Klin0341_CR;CP000156;1;333;333;0;99.40;331;604;327;353496;Lactobacillus delbrueckii;Lactobacillus;Lactobacillaceae;Firmicutes;undef;Bacteria
OTU_312_ACM_008_Klin0341_CR;CP000156;1;333;333;0;99.10;330;599;324;353496;Lactobacillus delbrueckii;Lactobacillus;Lactobacillaceae;Firmicutes;undef;Bacteria
OTU_312_ACM_008_Klin0341_CR;CP000156;1;333;333;0;98.80;329;593;321;353496;Lactobacillus delbrueckii;Lactobacillus;Lactobacillaceae;Firmicutes;undef;Bacteria
OTU_312_ACM_008_Klin0341_CR;CP000156;1;333;333;0;98.80;329;593;321;353496;Lactobacillus delbrueckii;Lactobacillus;Lactobacillaceae;Firmicutes;undef;Bacteria
OTU_313_ACM_008_Klin0341_CR;AY858404;1;328;328;0;97.56;320;562;304;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_314_ACM_008_Klin0341_CR;JN713546;1;319;320;2;97.50;312;545;295;1151592;Actinomyces sp. canine oral taxon 374;Actinomyces;Actinomycetaceae;Actinobacteria;undef;Bacteria
OTU_315_ACM_008_Klin0341_CR;CU926254;1;314;316;4;92.41;292;448;242;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_316_ACM_008_Klin0341_CR;JF922314;1;250;250;0;98.00;245;435;235;1045326;Nitratireductor sp. WW12(2011);Nitratireductor;Phyllobacteriaceae;Proteobacteria;undef;Bacteria
OTU_316_ACM_008_Klin0341_CR;JF922314;259;508;250;0;98.00;245;435;235;1045326;Nitratireductor sp. WW12(2011);Nitratireductor;Phyllobacteriaceae;Proteobacteria;undef;Bacteria
OTU_317_ACM_008_Klin0341_CR;HM238138;1;305;305;0;99.67;304;558;302;152507;uncultured actinobacterium;undef;undef;Actinobacteria;undef;Bacteria
OTU_318_ACM_008_Klin0341_CR;AB218317;4;312;309;0;100.00;309;571;309;195049;uncultured Clostridiaceae bacterium;undef;Clostridiaceae;Firmicutes;undef;Bacteria
OTU_319_ACM_008_Klin0341_CR;EU773141;1;310;313;5;91.05;285;418;226;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_320_ACM_008_Klin0341_CR;FJ833255;1;310;311;2;93.57;291;462;250;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_321_ACM_008_Klin0341_CR;FJ371857;1;320;320;0;100.00;320;592;320;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_322_ACM_008_Klin0341_CR;JQ248083;1;327;327;0;97.86;320;566;306;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_323_ACM_008_Klin0341_CR;GU304258;1;328;330;4;91.52;302;451;244;136703;uncultured rumen bacterium;undef;undef;undef;undef;Bacteria
OTU_324_ACM_008_Klin0341_CR;KC894533;1;330;330;0;99.39;328;599;324;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_325_ACM_008_Klin0341_CR;AB821086;1;305;306;2;94.77;290;475;257;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_326_ACM_008_Klin0341_CR;KF475863;1;321;321;0;100.00;321;593;321;1379915;Staphylococcus sp. IHB B 6553;Staphylococcus;Staphylococcaceae;Firmicutes;undef;Bacteria
OTU_327_ACM_008_Klin0341_CR;KF494492;3;309;307;0;99.35;305;556;301;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_328_ACM_008_Klin0341_CR;FJ369682;1;310;310;0;100.00;310;573;310;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_329_ACM_008_Klin0341_CR;FJ370582;4;326;323;0;98.14;317;564;305;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_330_ACM_008_Klin0341_CR;AB555393;4;346;343;1;98.83;339;610;330;136703;uncultured rumen bacterium;undef;undef;undef;undef;Bacteria
OTU_331_ACM_008_Klin0341_CR;EU009760;1;315;315;0;98.10;309;549;297;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_332_ACM_008_Klin0341_CR;HQ783401;1;327;327;0;99.08;324;588;318;155900;uncultured organism;undef;undef;undef;undef;undef
OTU_333_ACM_008_Klin0341_CR;CP000382;1;312;312;0;99.04;309;560;303;386415;Clostridium novyi;Clostridium;Clostridiaceae;Firmicutes;undef;Bacteria
OTU_333_ACM_008_Klin0341_CR;CP000382;1;312;312;0;99.04;309;560;303;386415;Clostridium novyi;Clostridium;Clostridiaceae;Firmicutes;undef;Bacteria
OTU_333_ACM_008_Klin0341_CR;CP000382;1;312;312;0;99.04;309;560;303;386415;Clostridium novyi;Clostridium;Clostridiaceae;Firmicutes;undef;Bacteria
OTU_333_ACM_008_Klin0341_CR;CP000382;1;312;312;0;98.72;308;555;300;386415;Clostridium novyi;Clostridium;Clostridiaceae;Firmicutes;undef;Bacteria
OTU_333_ACM_008_Klin0341_CR;CP000382;1;312;312;0;98.72;308;555;300;386415;Clostridium novyi;Clostridium;Clostridiaceae;Firmicutes;undef;Bacteria
OTU_333_ACM_008_Klin0341_CR;CP000382;1;312;312;0;98.72;308;555;300;386415;Clostridium novyi;Clostridium;Clostridiaceae;Firmicutes;undef;Bacteria
OTU_333_ACM_008_Klin0341_CR;CP000382;1;312;312;0;98.72;308;555;300;386415;Clostridium novyi;Clostridium;Clostridiaceae;Firmicutes;undef;Bacteria
OTU_333_ACM_008_Klin0341_CR;CP000382;1;312;312;0;98.72;308;555;300;386415;Clostridium novyi;Clostridium;Clostridiaceae;Firmicutes;undef;Bacteria
OTU_333_ACM_008_Klin0341_CR;CP000382;1;312;312;0;98.72;308;555;300;386415;Clostridium novyi;Clostridium;Clostridiaceae;Firmicutes;undef;Bacteria
OTU_333_ACM_008_Klin0341_CR;CP000382;1;312;312;0;98.40;307;549;297;386415;Clostridium novyi;Clostridium;Clostridiaceae;Firmicutes;undef;Bacteria
OTU_334_ACM_008_Klin0341_CR;FJ196719;1;317;317;0;99.05;314;569;308;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_335_ACM_008_Klin0341_CR;HF931070;1;250;250;0;100.00;250;462;250;1307873;Mesorhizobium sp. CCANP94;Mesorhizobium;Phyllobacteriaceae;Proteobacteria;undef;Bacteria
OTU_335_ACM_008_Klin0341_CR;HF931070;259;508;250;0;100.00;250;462;250;1307873;Mesorhizobium sp. CCANP94;Mesorhizobium;Phyllobacteriaceae;Proteobacteria;undef;Bacteria
OTU_336_ACM_008_Klin0341_CR;KF437553;1;250;250;0;99.20;248;451;244;1387084;Sphingobium sp. FL24;Sphingobium;Sphingomonadaceae;Proteobacteria;undef;Bacteria
OTU_336_ACM_008_Klin0341_CR;KF437553;259;508;250;0;99.20;248;451;244;1387084;Sphingobium sp. FL24;Sphingobium;Sphingomonadaceae;Proteobacteria;undef;Bacteria
OTU_337_ACM_008_Klin0341_CR;HM335687;1;313;313;0;99.68;312;573;310;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_338_ACM_008_Klin0341_CR;JX222282;1;291;291;0;100.00;291;538;291;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_339_ACM_008_Klin0341_CR;CP003761;1;305;305;0;100.00;305;564;305;1136179;Rhodococcus erythropolis;Rhodococcus;Nocardiaceae;Actinobacteria;undef;Bacteria
OTU_339_ACM_008_Klin0341_CR;CP003761;1;305;305;0;100.00;305;564;305;1136179;Rhodococcus erythropolis;Rhodococcus;Nocardiaceae;Actinobacteria;undef;Bacteria
OTU_339_ACM_008_Klin0341_CR;CP003761;1;305;305;0;100.00;305;564;305;1136179;Rhodococcus erythropolis;Rhodococcus;Nocardiaceae;Actinobacteria;undef;Bacteria
OTU_339_ACM_008_Klin0341_CR;CP003761;1;305;305;0;100.00;305;564;305;1136179;Rhodococcus erythropolis;Rhodococcus;Nocardiaceae;Actinobacteria;undef;Bacteria
OTU_340_ACM_008_Klin0341_CR;JN559642;1;318;318;0;100.00;318;588;318;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_341_ACM_008_Klin0341_CR;FJ369019;1;318;318;0;97.17;309;538;291;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_342_ACM_008_Klin0341_CR;JN559539;1;317;317;0;96.21;305;520;281;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_343_ACM_008_Klin0341_CR;EU132288;5;304;305;9;77.05;235;159;86;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_344_ACM_008_Klin0341_CR;JF428980;1;305;305;0;100.00;305;564;305;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_345_ACM_008_Klin0341_CR;JX218260;4;320;317;0;95.58;303;508;275;136703;uncultured rumen bacterium;undef;undef;undef;undef;Bacteria
OTU_346_ACM_008_Klin0341_CR;EU462644;1;306;331;19;76.74;254;156;84;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_347_ACM_008_Klin0341_CR;EU842854;1;329;330;2;93.33;308;486;263;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_348_ACM_008_Klin0341_CR;EU016691;1;250;250;0;96.80;242;418;226;39527;334597;;;;;;
OTU_348_ACM_008_Klin0341_CR;EU016691;259;508;250;0;96.40;241;412;223;39527;334597;;;;;;
OTU_349_ACM_008_Klin0341_CR;AB821112;1;250;250;0;100.00;250;462;250;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_349_ACM_008_Klin0341_CR;AB821112;259;508;250;0;100.00;250;462;250;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_350_ACM_008_Klin0341_CR;FJ370755;1;327;327;0;98.17;321;571;309;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_351_ACM_008_Klin0341_CR;JN713454;1;309;309;0;100.00;309;571;309;1151544;Leucobacter sp. canine oral taxon 288;Leucobacter;Microbacteriaceae;Actinobacteria;undef;Bacteria
OTU_352_ACM_008_Klin0341_CR;EU458477;1;310;310;0;96.77;300;518;280;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_353_ACM_008_Klin0341_CR;EU843316;1;330;330;0;98.79;326;588;318;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_354_ACM_008_Klin0341_CR;HE583595;1;330;330;3;98.79;326;584;316;1073423;Carnobacterium sp. LMG 26642;Carnobacterium;Carnobacteriaceae;Firmicutes;undef;Bacteria
OTU_355_ACM_008_Klin0341_CR;AB269993;1;310;315;7;91.11;287;418;226;136703;uncultured rumen bacterium;undef;undef;undef;undef;Bacteria
OTU_1_ADM330_Klin0785_CR;HQ766581;1;404;404;0;100.00;404;747;404;155900;uncultured organism;undef;undef;undef;undef;undef
OTU_2_ADM330_Klin0785_CR;HQ777167;1;403;403;0;100.00;403;745;403;155900;uncultured organism;undef;undef;undef;undef;undef
OTU_3_ADM330_Klin0785_CR;HQ183490;1;406;406;0;100.00;406;750;406;939149;Albuca kirkii;Albuca;Hyacinthaceae;Streptophyta;Viridiplantae;Eukaryota
OTU_4_ADM330_Klin0785_CR;HG738867;1;429;429;0;100.00;429;793;429;1403831;Escherichia coli;Escherichia;Enterobacteriaceae;Proteobacteria;undef;Bacteria
OTU_4_ADM330_Klin0785_CR;HG738867;1;429;429;0;100.00;429;793;429;1403831;Escherichia coli;Escherichia;Enterobacteriaceae;Proteobacteria;undef;Bacteria
OTU_4_ADM330_Klin0785_CR;HG738867;1;429;429;0;100.00;429;793;429;1403831;Escherichia coli;Escherichia;Enterobacteriaceae;Proteobacteria;undef;Bacteria
OTU_4_ADM330_Klin0785_CR;HG738867;1;429;429;0;100.00;429;793;429;1403831;Escherichia coli;Escherichia;Enterobacteriaceae;Proteobacteria;undef;Bacteria
OTU_4_ADM330_Klin0785_CR;HG738867;1;429;429;0;100.00;429;793;429;1403831;Escherichia coli;Escherichia;Enterobacteriaceae;Proteobacteria;undef;Bacteria
OTU_4_ADM330_Klin0785_CR;HG738867;1;429;429;0;100.00;429;793;429;1403831;Escherichia coli;Escherichia;Enterobacteriaceae;Proteobacteria;undef;Bacteria
OTU_4_ADM330_Klin0785_CR;HG738867;1;429;429;0;100.00;429;793;429;1403831;Escherichia coli;Escherichia;Enterobacteriaceae;Proteobacteria;undef;Bacteria
OTU_5_ADM330_Klin0785_CR;KC818617;1;403;403;0;100.00;403;745;403;1505;[Clostridium] sordellii;undef;Peptostreptococcaceae;Firmicutes;undef;Bacteria
OTU_6_ADM330_Klin0785_CR;AB640687;1;404;404;0;100.00;404;747;404;84025;Clostridium haemolyticum;Clostridium;Clostridiaceae;Firmicutes;undef;Bacteria
OTU_7_ADM330_Klin0785_CR;HQ790099;1;407;407;0;100.00;407;752;407;155900;uncultured organism;undef;undef;undef;undef;undef
OTU_8_ADM330_Klin0785_CR;JQ425646;1;429;429;0;100.00;429;793;429;1599;Lactobacillus sakei;Lactobacillus;Lactobacillaceae;Firmicutes;undef;Bacteria
OTU_9_ADM330_Klin0785_CR;HQ820569;1;404;404;0;100.00;404;747;404;155900;uncultured organism;undef;undef;undef;undef;undef
OTU_10_ADM330_Klin0785_CR;HQ796620;1;404;404;0;99.75;403;741;401;155900;uncultured organism;undef;undef;undef;undef;undef
OTU_11_ADM330_Klin0785_CR;CP006838;1;429;429;0;100.00;429;793;429;1406863;Staphylococcus aureus;Staphylococcus;Staphylococcaceae;Firmicutes;undef;Bacteria
OTU_11_ADM330_Klin0785_CR;CP006838;1;429;429;0;100.00;429;793;429;1406863;Staphylococcus aureus;Staphylococcus;Staphylococcaceae;Firmicutes;undef;Bacteria
OTU_11_ADM330_Klin0785_CR;CP006838;1;429;429;0;100.00;429;793;429;1406863;Staphylococcus aureus;Staphylococcus;Staphylococcaceae;Firmicutes;undef;Bacteria
OTU_11_ADM330_Klin0785_CR;CP006838;1;429;429;0;100.00;429;793;429;1406863;Staphylococcus aureus;Staphylococcus;Staphylococcaceae;Firmicutes;undef;Bacteria
OTU_11_ADM330_Klin0785_CR;CP006838;1;429;429;0;100.00;429;793;429;1406863;Staphylococcus aureus;Staphylococcus;Staphylococcaceae;Firmicutes;undef;Bacteria
OTU_12_ADM330_Klin0785_CR;HF558373;1;404;404;0;99.75;403;741;401;39489;Eubacterium moniliforme;Eubacterium;Eubacteriaceae;Firmicutes;undef;Bacteria
OTU_13_ADM330_Klin0785_CR;KF571756;1;429;429;0;100.00;429;793;429;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_14_ADM330_Klin0785_CR;EU458333;1;403;403;0;100.00;403;745;403;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_15_ADM330_Klin0785_CR;HM050401;1;429;429;0;100.00;429;793;429;765421;Streptococcus sp. SDX-1;Streptococcus;Streptococcaceae;Firmicutes;undef;Bacteria
OTU_16_ADM330_Klin0785_CR;EU773755;1;405;405;0;99.26;402;732;396;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_17_ADM330_Klin0785_CR;AB819042;1;429;429;0;100.00;429;793;429;1352;Enterococcus faecium;Enterococcus;Enterococcaceae;Firmicutes;undef;Bacteria
OTU_18_ADM330_Klin0785_CR;EU773733;1;429;429;0;100.00;429;793;429;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_19_ADM330_Klin0785_CR;JN602240;1;429;429;0;100.00;429;793;429;1131990;Psychrobacter sp. 8CpME9;Psychrobacter;Moraxellaceae;Proteobacteria;undef;Bacteria
OTU_20_ADM330_Klin0785_CR;JN559626;1;404;404;0;100.00;404;747;404;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_21_ADM330_Klin0785_CR;GQ156912;1;404;404;0;100.00;404;747;404;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_22_ADM330_Klin0785_CR;JN820203;1;430;430;0;99.77;429;789;427;86473;uncultured gamma proteobacterium;undef;undef;Proteobacteria;undef;Bacteria
OTU_23_ADM330_Klin0785_CR;HM122055;1;429;429;0;100.00;429;793;429;368603;Morganella psychrotolerans;Morganella;Enterobacteriaceae;Proteobacteria;undef;Bacteria
OTU_24_ADM330_Klin0785_CR;EU772819;1;428;428;0;100.00;428;791;428;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_25_ADM330_Klin0785_CR;KF578020;1;424;424;0;100.00;424;784;424;1397365;Flavobacterium sp. Movanagher J2;Flavobacterium;Flavobacteriaceae;Bacteroidetes;undef;Bacteria
OTU_26_ADM330_Klin0785_CR;KF255794;1;429;429;0;100.00;429;793;429;150055;Streptococcus lutetiensis;Streptococcus;Streptococcaceae;Firmicutes;undef;Bacteria
OTU_27_ADM330_Klin0785_CR;JN713310;1;404;404;0;100.00;404;747;404;1151491;Blautia sp. canine oral taxon 143;Blautia;Lachnospiraceae;Firmicutes;undef;Bacteria
OTU_28_ADM330_Klin0785_CR;HQ804988;1;404;404;0;100.00;404;747;404;155900;uncultured organism;undef;undef;undef;undef;undef
OTU_29_ADM330_Klin0785_CR;CP006603;1;429;429;0;100.00;429;793;429;1358027;Lactobacillus reuteri;Lactobacillus;Lactobacillaceae;Firmicutes;undef;Bacteria
OTU_29_ADM330_Klin0785_CR;CP006603;1;429;429;0;100.00;429;793;429;1358027;Lactobacillus reuteri;Lactobacillus;Lactobacillaceae;Firmicutes;undef;Bacteria
OTU_29_ADM330_Klin0785_CR;CP006603;1;429;429;0;100.00;429;793;429;1358027;Lactobacillus reuteri;Lactobacillus;Lactobacillaceae;Firmicutes;undef;Bacteria
OTU_29_ADM330_Klin0785_CR;CP006603;1;429;429;0;99.77;428;787;426;1358027;Lactobacillus reuteri;Lactobacillus;Lactobacillaceae;Firmicutes;undef;Bacteria
OTU_29_ADM330_Klin0785_CR;CP006603;1;429;429;0;99.77;428;787;426;1358027;Lactobacillus reuteri;Lactobacillus;Lactobacillaceae;Firmicutes;undef;Bacteria
OTU_29_ADM330_Klin0785_CR;CP006603;1;429;429;0;99.77;428;787;426;1358027;Lactobacillus reuteri;Lactobacillus;Lactobacillaceae;Firmicutes;undef;Bacteria
OTU_30_ADM330_Klin0785_CR;FJ978606;1;424;424;0;100.00;424;784;424;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_31_ADM330_Klin0785_CR;HQ796538;1;404;404;0;100.00;404;747;404;155900;uncultured organism;undef;undef;undef;undef;undef
OTU_32_ADM330_Klin0785_CR;KF379756;1;429;429;0;100.00;429;793;429;569;Hafnia alvei;Hafnia;Enterobacteriaceae;Proteobacteria;undef;Bacteria
OTU_33_ADM330_Klin0785_CR;KF153220;1;429;429;0;100.00;429;793;429;1352413;Rahnella sp. E17;Rahnella;Enterobacteriaceae;Proteobacteria;undef;Bacteria
OTU_34_ADM330_Klin0785_CR;JX096023;1;429;429;0;100.00;429;793;429;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_35_ADM330_Klin0785_CR;HQ698587;1;429;429;0;100.00;429;793;429;281738;Psychrobacter nivimaris;Psychrobacter;Moraxellaceae;Proteobacteria;undef;Bacteria
OTU_36_ADM330_Klin0785_CR;KC245370;1;404;404;0;100.00;404;747;404;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_37_ADM330_Klin0785_CR;FR870444;1;404;404;0;100.00;404;747;404;1536;Clostridium limosum;Clostridium;Clostridiaceae;Firmicutes;undef;Bacteria
OTU_38_ADM330_Klin0785_CR;KF018060;1;429;429;0;100.00;429;793;429;114707;uncultured Pseudomonas sp.;Pseudomonas;Pseudomonadaceae;Proteobacteria;undef;Bacteria
OTU_39_ADM330_Klin0785_CR;FJ978732;1;407;407;0;100.00;407;752;407;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_40_ADM330_Klin0785_CR;HE999757;1;429;429;0;100.00;429;793;429;1234679;Carnobacterium maltaromaticum;Carnobacterium;Carnobacteriaceae;Firmicutes;undef;Bacteria
OTU_40_ADM330_Klin0785_CR;HE999757;1;429;429;0;100.00;429;793;429;1234679;Carnobacterium maltaromaticum;Carnobacterium;Carnobacteriaceae;Firmicutes;undef;Bacteria
OTU_40_ADM330_Klin0785_CR;HE999757;1;429;429;0;100.00;429;793;429;1234679;Carnobacterium maltaromaticum;Carnobacterium;Carnobacteriaceae;Firmicutes;undef;Bacteria
OTU_40_ADM330_Klin0785_CR;HE999757;1;429;429;0;100.00;429;793;429;1234679;Carnobacterium maltaromaticum;Carnobacterium;Carnobacteriaceae;Firmicutes;undef;Bacteria
OTU_40_ADM330_Klin0785_CR;HE999757;1;429;430;1;99.77;429;787;426;1234679;Carnobacterium maltaromaticum;Carnobacterium;Carnobacteriaceae;Firmicutes;undef;Bacteria
OTU_40_ADM330_Klin0785_CR;HE999757;1;429;433;4;99.08;429;774;419;1234679;Carnobacterium maltaromaticum;Carnobacterium;Carnobacteriaceae;Firmicutes;undef;Bacteria
OTU_41_ADM330_Klin0785_CR;KC620720;1;429;429;0;100.00;429;793;429;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_42_ADM330_Klin0785_CR;HQ782741;1;407;407;0;100.00;407;752;407;155900;uncultured organism;undef;undef;undef;undef;undef
OTU_43_ADM330_Klin0785_CR;HQ757588;1;403;403;0;100.00;403;745;403;155900;uncultured organism;undef;undef;undef;undef;undef
OTU_44_ADM330_Klin0785_CR;CP003217;1;410;410;0;100.00;410;758;410;698971;Corynebacterium diphtheriae;Corynebacterium;Corynebacteriaceae;Actinobacteria;undef;Bacteria
OTU_44_ADM330_Klin0785_CR;CP003217;1;410;410;0;100.00;410;758;410;698971;Corynebacterium diphtheriae;Corynebacterium;Corynebacteriaceae;Actinobacteria;undef;Bacteria
OTU_44_ADM330_Klin0785_CR;CP003217;1;410;410;0;100.00;410;758;410;698971;Corynebacterium diphtheriae;Corynebacterium;Corynebacteriaceae;Actinobacteria;undef;Bacteria
OTU_44_ADM330_Klin0785_CR;CP003217;1;410;410;0;100.00;410;758;410;698971;Corynebacterium diphtheriae;Corynebacterium;Corynebacteriaceae;Actinobacteria;undef;Bacteria
OTU_44_ADM330_Klin0785_CR;CP003217;1;410;410;0;100.00;410;758;410;698971;Corynebacterium diphtheriae;Corynebacterium;Corynebacteriaceae;Actinobacteria;undef;Bacteria
OTU_45_ADM330_Klin0785_CR;EU776002;1;406;406;0;100.00;406;750;406;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_46_ADM330_Klin0785_CR;KF443808;1;403;403;0;100.00;403;745;403;1368474;Clostridium sp. LAM201;Clostridium;Clostridiaceae;Firmicutes;undef;Bacteria
OTU_47_ADM330_Klin0785_CR;HM779929;1;429;429;0;100.00;429;793;429;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_48_ADM330_Klin0785_CR;KF413421;1;429;429;0;100.00;429;793;429;644;Aeromonas hydrophila;Aeromonas;Aeromonadaceae;Proteobacteria;undef;Bacteria
OTU_49_ADM330_Klin0785_CR;HQ772740;1;407;407;0;100.00;407;752;407;155900;uncultured organism;undef;undef;undef;undef;undef
OTU_50_ADM330_Klin0785_CR;JQ084934;1;429;429;0;100.00;429;793;429;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_51_ADM330_Klin0785_CR;HQ787930;1;405;405;0;100.00;405;749;405;155900;uncultured organism;undef;undef;undef;undef;undef
OTU_52_ADM330_Klin0785_CR;GU440754;1;403;403;0;100.00;403;745;403;907224;Peptoniphilus methioninivorax;Peptoniphilus;Clostridiales Family XI. Incertae Sedis;Firmicutes;undef;Bacteria
OTU_53_ADM330_Klin0785_CR;FR745875;1;404;404;0;100.00;404;747;404;935198;Clostridium botulinum;Clostridium;Clostridiaceae;Firmicutes;undef;Bacteria
OTU_53_ADM330_Klin0785_CR;FR745875;1;404;404;0;100.00;404;747;404;935198;Clostridium botulinum;Clostridium;Clostridiaceae;Firmicutes;undef;Bacteria
OTU_53_ADM330_Klin0785_CR;FR745875;1;404;404;0;100.00;404;747;404;935198;Clostridium botulinum;Clostridium;Clostridiaceae;Firmicutes;undef;Bacteria
OTU_53_ADM330_Klin0785_CR;FR745875;1;404;404;0;100.00;404;747;404;935198;Clostridium botulinum;Clostridium;Clostridiaceae;Firmicutes;undef;Bacteria
OTU_53_ADM330_Klin0785_CR;FR745875;1;404;404;0;100.00;404;747;404;935198;Clostridium botulinum;Clostridium;Clostridiaceae;Firmicutes;undef;Bacteria
OTU_53_ADM330_Klin0785_CR;FR745875;1;404;404;0;100.00;404;747;404;935198;Clostridium botulinum;Clostridium;Clostridiaceae;Firmicutes;undef;Bacteria
OTU_53_ADM330_Klin0785_CR;FR745875;1;404;404;0;100.00;404;747;404;935198;Clostridium botulinum;Clostridium;Clostridiaceae;Firmicutes;undef;Bacteria
OTU_53_ADM330_Klin0785_CR;FR745875;1;404;404;0;100.00;404;747;404;935198;Clostridium botulinum;Clostridium;Clostridiaceae;Firmicutes;undef;Bacteria
OTU_54_ADM330_Klin0785_CR;HF947011;1;429;429;0;100.00;429;793;429;585;Proteus vulgaris;Proteus;Enterobacteriaceae;Proteobacteria;undef;Bacteria
OTU_55_ADM330_Klin0785_CR;HM569359;1;428;428;0;100.00;428;791;428;38402;Erysipelothrix tonsillarum;Erysipelothrix;Erysipelotrichaceae;Firmicutes;undef;Bacteria
OTU_56_ADM330_Klin0785_CR;EU778630;1;407;407;0;100.00;407;752;407;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_57_ADM330_Klin0785_CR;JX912527;1;405;405;0;100.00;405;749;405;28080;Campylobacter upsaliensis;Campylobacter;Campylobacteraceae;Proteobacteria;undef;Bacteria
OTU_58_ADM330_Klin0785_CR;HM031078;1;429;429;0;99.77;428;787;426;752139;Iodobacter sp. E1;Iodobacter;Neisseriaceae;Proteobacteria;undef;Bacteria
OTU_59_ADM330_Klin0785_CR;DQ113757;1;405;405;0;100.00;405;749;405;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_60_ADM330_Klin0785_CR;JN559714;1;407;407;0;100.00;407;752;407;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_61_ADM330_Klin0785_CR;KC245369;1;425;425;0;100.00;425;785;425;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_62_ADM330_Klin0785_CR;EU462644;1;404;407;4;88.70;361;492;266;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_63_ADM330_Klin0785_CR;AY850534;1;422;422;0;100.00;422;780;422;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_64_ADM330_Klin0785_CR;FN811265;1;424;424;0;97.88;415;734;397;152509;uncultured Bacteroidetes bacterium;undef;undef;Bacteroidetes;undef;Bacteria
OTU_65_ADM330_Klin0785_CR;HM270496;1;429;429;0;99.77;428;787;426;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_66_ADM330_Klin0785_CR;KF494757;1;429;429;0;100.00;429;793;429;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_67_ADM330_Klin0785_CR;KC245441;1;428;429;1;96.50;414;708;383;77133;uncultured bacterium;undef;undef;undef;undef;Bacteria
OTU_68_ADM330_Klin0785_CR;AB680248;1;429;429;0;100.00;429;793;429;1113779;1113780;1113782;1113783;1113784;1113785;1121126;;;;;;
